title,url,country,imdbRating,imdbVotes,metascore,budget,domesticGross,worldwideGross,awards,directors,thespians
31. The Luckiest Man in America,https://www.imdb.com/title/tt32331377/,US,6.7, (434),67,,,,[],"[{'name': 'Samir Oliveros', 'url': 'https://www.imdb.com/name/nm6949762/'}]","[{'name': 'Paul Walter Hauser', 'url': 'https://www.imdb.com/name/nm3236159/'}, {'name': 'Walton Goggins', 'url': 'https://www.imdb.com/name/nm0324658/'}, {'name': 'Shamier Anderson', 'url': 'https://www.imdb.com/name/nm3875456/'}, {'name': 'David Strathairn', 'url': 'https://www.imdb.com/name/nm0000657/'}, {'name': 'Brian Geraghty', 'url': 'https://www.imdb.com/name/nm1310016/'}]"
32. Carry-On,https://www.imdb.com/title/tt21382296/,US,6.5, (163K),69,,n/a,,[],"[{'name': 'Jaume Collet-Serra', 'url': 'https://www.imdb.com/name/nm1429471/'}]","[{'name': 'Taron Egerton', 'url': 'https://www.imdb.com/name/nm5473782/'}, {'name': 'Jason Bateman', 'url': 'https://www.imdb.com/name/nm0000867/'}, {'name': 'Sofia Carson', 'url': 'https://www.imdb.com/name/nm6259860/'}, {'name': 'Danielle Deadwyler', 'url': 'https://www.imdb.com/name/nm4314990/'}, {'name': 'Theo Rossi', 'url': 'https://www.imdb.com/name/nm0744331/'}]"
33. Presence,https://www.imdb.com/title/tt28249919/,US,6.1, (21K),77,"$2,000,000","$6,900,045","$10,107,715",[],"[{'name': 'Steven Soderbergh', 'url': 'https://www.imdb.com/name/nm0001752/'}]","[{'name': 'Lucy Liu', 'url': 'https://www.imdb.com/name/nm0005154/'}, {'name': 'Chris Sullivan', 'url': 'https://www.imdb.com/name/nm2884388/'}, {'name': 'Callina Liang', 'url': 'https://www.imdb.com/name/nm13153010/'}, {'name': 'Eddy Maday', 'url': 'https://www.imdb.com/name/nm15208746/'}, {'name': 'West Mulholland', 'url': 'https://www.imdb.com/name/nm8810742/'}]"
34. Speak No Evil,https://www.imdb.com/title/tt27534307/,US,6.8, (96K),66,"$15,000,000","$36,931,420","$77,232,321",[],"[{'name': 'James Watkins', 'url': 'https://www.imdb.com/name/nm1220140/'}]","[{'name': 'James McAvoy', 'url': 'https://www.imdb.com/name/nm0564215/'}, {'name': 'Mackenzie Davis', 'url': 'https://www.imdb.com/name/nm4496875/'}, {'name': 'Scoot McNairy', 'url': 'https://www.imdb.com/name/nm1058940/'}, {'name': 'Aisling Franciosi', 'url': 'https://www.imdb.com/name/nm4957233/'}, {'name': 'Alix West Lefler', 'url': 'https://www.imdb.com/name/nm11394480/'}]"
35. Strange Darling,https://www.imdb.com/title/tt22375054/,US,7.1, (50K),80,,"$3,083,595","$3,696,415",[],"[{'name': 'JT Mollner', 'url': 'https://www.imdb.com/name/nm2356768/'}]","[{'name': 'Willa Fitzgerald', 'url': 'https://www.imdb.com/name/nm2560618/'}, {'name': 'Kyle Gallner', 'url': 'https://www.imdb.com/name/nm0973177/'}, {'name': 'Madisen Beaty', 'url': 'https://www.imdb.com/name/nm2295293/'}, {'name': 'Bianca A. Santos', 'url': 'https://www.imdb.com/name/nm5291376/'}, {'name': 'Steven Michael Quezada', 'url': 'https://www.imdb.com/name/nm2366374/'}]"
36. John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,US,7.6, (374K),78,,,,[],"[{'name': 'Chad Stahelski', 'url': 'https://www.imdb.com/name/nm0821432/'}]","[{'name': 'Keanu Reeves', 'url': 'https://www.imdb.com/name/nm0000206/'}, {'name': 'Laurence Fishburne', 'url': 'https://www.imdb.com/name/nm0000401/'}, {'name': 'George Georgiou', 'url': 'https://www.imdb.com/name/nm1745190/'}, {'name': 'Lance Reddick', 'url': 'https://www.imdb.com/name/nm0714698/'}, {'name': 'Clancy Brown', 'url': 'https://www.imdb.com/name/nm0000317/'}]"
37. The Day the Earth Blew Up: A Looney Tunes Movie,https://www.imdb.com/title/tt15352542/,US,7.0, (3.8K),69,"$15,000,000","$8,718,263","$10,974,444",[],"[{'name': 'Peter Browngardt', 'url': 'https://www.imdb.com/name/nm1349864/'}]","[{'name': 'Eric Bauza', 'url': 'https://www.imdb.com/name/nm1082823/'}, {'name': 'Candi Milo', 'url': 'https://www.imdb.com/name/nm0590430/'}, {'name': 'Peter MacNicol', 'url': 'https://www.imdb.com/name/nm0001493/'}, {'name': 'Carlos Alazraqui', 'url': 'https://www.imdb.com/name/nm0016141/'}, {'name': 'Fred Tatasciore', 'url': 'https://www.imdb.com/name/nm0851317/'}]"
38. Riff Raff,https://www.imdb.com/title/tt27775403/,US,5.7, (2.8K),47,,"$1,862,519","$1,893,490",[],"[{'name': 'Dito Montiel', 'url': 'https://www.imdb.com/name/nm1996918/'}]","[{'name': 'Jennifer Coolidge', 'url': 'https://www.imdb.com/name/nm0177639/'}, {'name': 'Ed Harris', 'url': 'https://www.imdb.com/name/nm0000438/'}, {'name': 'Gabrielle Union', 'url': 'https://www.imdb.com/name/nm0005517/'}, {'name': 'Miles J. Harvey', 'url': 'https://www.imdb.com/name/nm4851020/'}, {'name': 'Emanuela Postacchini', 'url': 'https://www.imdb.com/name/nm4995971/'}]"
39. Civil War,https://www.imdb.com/title/tt17279496/,US,7.0, (235K),75,"$50,000,000","$68,757,539","$127,339,353",[],"[{'name': 'Alex Garland', 'url': 'https://www.imdb.com/name/nm0307497/'}]","[{'name': 'Nick Offerman', 'url': 'https://www.imdb.com/name/nm0644406/'}, {'name': 'Kirsten Dunst', 'url': 'https://www.imdb.com/name/nm0000379/'}, {'name': 'Wagner Moura', 'url': 'https://www.imdb.com/name/nm0609944/'}, {'name': 'Jefferson White', 'url': 'https://www.imdb.com/name/nm6366417/'}, {'name': 'Nelson Lee', 'url': 'https://www.imdb.com/name/nm1116914/'}]"
40. Smile 2,https://www.imdb.com/title/tt29268110/,US,6.7, (102K),67,,"$69,012,586","$138,024,364",[],"[{'name': 'Parker Finn', 'url': 'https://www.imdb.com/name/nm6475689/'}]","[{'name': 'Naomi Scott', 'url': 'https://www.imdb.com/name/nm4305463/'}, {'name': 'Rosemarie DeWitt', 'url': 'https://www.imdb.com/name/nm1679669/'}, {'name': 'Lukas Gage', 'url': 'https://www.imdb.com/name/nm4965072/'}, {'name': 'Miles Gutierrez-Riley', 'url': 'https://www.imdb.com/name/nm12077526/'}, {'name': 'Peter Jacobson', 'url': 'https://www.imdb.com/name/nm0414772/'}]"
