decade,year,result,director,movie,director url
Década de 2000,2002,Nominee,Peter Jackson,El señor de los anillos: La comunidad del anillo,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2002,Nominee,David Lynch,Mulholland Drive,https://www.imdb.com/es-es/name/nm0000186/
Década de 2000,2001,Ganador,Steven Soderbergh,Traffic,https://www.imdb.com/es-es/name/nm0001752/
Década de 2000,2001,Nominee,Stephen Daldry,Billy Elliot (Quiero bailar),https://www.imdb.com/es-es/name/nm0197636/
Década de 2000,2001,Nominee,Steven Soderbergh,Erin Brockovich,https://www.imdb.com/es-es/name/nm0001752/
Década de 2000,2001,Nominee,Ridley Scott,Gladiator (El gladiador),https://www.imdb.com/es-es/name/nm0000631/
Década de 2000,2001,Nominee,Ang Lee,Tigre y dragón,https://www.imdb.com/es-es/name/nm0000487/
Década de 2000,2000,Ganador,Sam Mendes,American Beauty,https://www.imdb.com/es-es/name/nm0005222/
Década de 2000,2000,Nominee,Spike Jonze,Cómo ser John Malkovich,https://www.imdb.com/es-es/name/nm0005069/
Década de 2000,2000,Nominee,Lasse Hallström,Las normas de la casa de la sidra,https://www.imdb.com/es-es/name/nm0002120/
Década de 2000,2000,Nominee,Michael Mann,El dilema (The Insider),https://www.imdb.com/es-es/name/nm0000520/
Década de 2000,2000,Nominee,M. Night Shyamalan,El sexto sentido,https://www.imdb.com/es-es/name/nm0796117/
Década de 1990,1999,Ganador,Steven Spielberg,Salvar al soldado Ryan,https://www.imdb.com/es-es/name/nm0000229/
Década de 1990,1999,Nominee,Roberto Benigni,La vida es bella,https://www.imdb.com/es-es/name/nm0000905/
Década de 1990,1999,Nominee,John Madden,Shakespeare in Love (Shakespeare enamorado),https://www.imdb.com/es-es/name/nm0006960/
Década de 1990,1999,Nominee,Terrence Malick,La delgada línea roja,https://www.imdb.com/es-es/name/nm0000517/
Década de 1990,1999,Nominee,Peter Weir,El show de Truman,https://www.imdb.com/es-es/name/nm0001837/
Década de 1990,1998,Ganador,James Cameron,Titanic,https://www.imdb.com/es-es/name/nm0000116/
Década de 1990,1998,Nominee,Peter Cattaneo,Full Monty,https://www.imdb.com/es-es/name/nm0146341/
Década de 1990,1998,Nominee,Atom Egoyan,El dulce porvenir,https://www.imdb.com/es-es/name/nm0000382/
Década de 1990,1998,Nominee,Curtis Hanson,L.A. Confidential,https://www.imdb.com/es-es/name/nm0000436/
Década de 1990,1998,Nominee,Gus Van Sant,El indomable Will Hunting,https://www.imdb.com/es-es/name/nm0001814/
