decade,year,result,director,movie,director url
Década de 1990,1996,Nominee,Ron Howard,Apolo 13,https://www.imdb.com/es-es/name/nm0000165/
Década de 1990,1996,Nominee,Ang Lee,Sentido y sensibilidad,https://www.imdb.com/es-es/name/nm0000487/
Década de 1990,1996,Nominee,Rob Reiner,El presidente y Miss Wade,https://www.imdb.com/es-es/name/nm0001661/
Década de 1990,1996,Nominee,Martin Scorsese,Casino,https://www.imdb.com/es-es/name/nm0000217/
Década de 1990,1995,Ganador,Robert Zemeckis,Forrest Gump,https://www.imdb.com/es-es/name/nm0000709/
Década de 1990,1995,Nominee,Robert Redford,Quiz Show (El dilema),https://www.imdb.com/es-es/name/nm0000602/
Década de 1990,1995,Nominee,Oliver Stone,Asesinos natos,https://www.imdb.com/es-es/name/nm0000231/
Década de 1990,1995,Nominee,Quentin Tarantino,Pulp Fiction,https://www.imdb.com/es-es/name/nm0000233/
Década de 1990,1995,Nominee,Edward Zwick,Leyendas de pasión,https://www.imdb.com/es-es/name/nm0001880/
Década de 1990,1994,Ganador,Steven Spielberg,La lista de Schindler,https://www.imdb.com/es-es/name/nm0000229/
Década de 1990,1994,Nominee,Jane Campion,El piano,https://www.imdb.com/es-es/name/nm0001005/
Década de 1990,1994,Nominee,Andrew Davis,El fugitivo,https://www.imdb.com/es-es/name/nm0001112/
Década de 1990,1994,Nominee,James Ivory,Lo que queda del día,https://www.imdb.com/es-es/name/nm0412465/
Década de 1990,1994,Nominee,Martin Scorsese,La edad de la inocencia,https://www.imdb.com/es-es/name/nm0000217/
Década de 1990,1993,Ganador,Clint Eastwood,Sin perdón,https://www.imdb.com/es-es/name/nm0000142/
Década de 1990,1993,Nominee,Robert Altman,El juego de Hollywood (The Player),https://www.imdb.com/es-es/name/nm0000265/
Década de 1990,1993,Nominee,James Ivory,Regreso a Howards End,https://www.imdb.com/es-es/name/nm0412465/
Década de 1990,1993,Nominee,Robert Redford,El río de la vida,https://www.imdb.com/es-es/name/nm0000602/
Década de 1990,1993,Nominee,Rob Reiner,Algunos hombres buenos,https://www.imdb.com/es-es/name/nm0001661/
Década de 1990,1992,Ganador,Oliver Stone,JFK: Caso abierto,https://www.imdb.com/es-es/name/nm0000231/
Década de 1990,1992,Nominee,Jonathan Demme,El silencio de los corderos,https://www.imdb.com/es-es/name/nm0001129/
Década de 1990,1992,Nominee,Terry Gilliam,El rey pescador,https://www.imdb.com/es-es/name/nm0000416/
Década de 1990,1992,Nominee,Barry Levinson,Bugsy,https://www.imdb.com/es-es/name/nm0001469/
Década de 1990,1992,Nominee,Barbra Streisand,El príncipe de las mareas,https://www.imdb.com/es-es/name/nm0000659/
Década de 1990,1991,Ganador,Kevin Costner,Bailando con lobos,https://www.imdb.com/es-es/name/nm0000126/
Década de 1990,1991,Nominee,Bernardo Bertolucci,El cielo protector,https://www.imdb.com/es-es/name/nm0000934/
Década de 1990,1991,Nominee,Francis Ford Coppola,El padrino parte III,https://www.imdb.com/es-es/name/nm0000338/
Década de 1990,1991,Nominee,Barbet Schroeder,El misterio Von Bulow,https://www.imdb.com/es-es/name/nm0775447/
Década de 1990,1991,Nominee,Martin Scorsese,Uno de los nuestros,https://www.imdb.com/es-es/name/nm0000217/
Década de 1990,1990,Ganador,Oliver Stone,Nacido el cuatro de julio,https://www.imdb.com/es-es/name/nm0000231/
Década de 1990,1990,Nominee,Spike Lee,Haz lo que debas,https://www.imdb.com/es-es/name/nm0000490/
Década de 1990,1990,Nominee,Rob Reiner,Cuando Harry encontró a Sally...,https://www.imdb.com/es-es/name/nm0001661/
Década de 1990,1990,Nominee,Peter Weir,El club de los poetas muertos,https://www.imdb.com/es-es/name/nm0001837/
Década de 1990,1990,Nominee,Edward Zwick,Tiempos de gloria,https://www.imdb.com/es-es/name/nm0001880/
Década de 1980,1989,Ganador,Clint Eastwood,Bird,https://www.imdb.com/es-es/name/nm0000142/
Década de 1980,1989,Nominee,Barry Levinson,Rain Man,https://www.imdb.com/es-es/name/nm0001469/
Década de 1980,1989,Nominee,Sidney Lumet,Un lugar en ninguna parte,https://www.imdb.com/es-es/name/nm0001486/
Década de 1980,1989,Nominee,Mike Nichols,Armas de mujer,https://www.imdb.com/es-es/name/nm0001566/
Década de 1980,1989,Nominee,Alan Parker,Arde Mississippi,https://www.imdb.com/es-es/name/nm0000570/
Década de 1980,1989,Nominee,Fred Schepisi,Un grito en la oscuridad,https://www.imdb.com/es-es/name/nm0770961/
Década de 1980,1988,Ganador,Bernardo Bertolucci,El último emperador,https://www.imdb.com/es-es/name/nm0000934/
Década de 1980,1988,Nominee,Richard Attenborough,Grita libertad,https://www.imdb.com/es-es/name/nm0000277/
Década de 1980,1988,Nominee,John Boorman,Esperanza y gloria,https://www.imdb.com/es-es/name/nm0000958/
Década de 1980,1988,Nominee,James L. Brooks,Al filo de la noticia,https://www.imdb.com/es-es/name/nm0000985/
